slice_index_0_based,slice_index_1_based,pore_px,solid_px,total_px,porosity
232,233,26995,95505,122500,0.22036734693877552
233,234,25901,96599,122500,0.21143673469387755
234,235,25665,96835,122500,0.20951020408163265
235,236,25486,97014,122500,0.20804897959183674
236,237,25290,97210,122500,0.20644897959183672
237,238,25507,96993,122500,0.2082204081632653
238,239,26079,96421,122500,0.21288979591836735
239,240,27268,95232,122500,0.22259591836734693
240,241,26889,95611,122500,0.21950204081632654
241,242,27074,95426,122500,0.22101224489795918
242,243,26589,95911,122500,0.2170530612244898
243,244,26135,96365,122500,0.2133469387755102
244,245,26008,96492,122500,0.21231020408163265
245,246,25168,97332,122500,0.2054530612244898
246,247,24983,97517,122500,0.20394285714285715
247,248,24898,97602,122500,0.20324897959183674
248,249,24675,97825,122500,0.20142857142857143
249,250,25236,97264,122500,0.20600816326530613
250,251,25040,97460,122500,0.20440816326530611
251,252,24355,98145,122500,0.19881632653061224
252,253,24136,98364,122500,0.19702857142857144
253,254,24164,98336,122500,0.19725714285714285
254,255,24221,98279,122500,0.19772244897959185
255,256,23234,99266,122500,0.18966530612244897
256,257,23082,99418,122500,0.18842448979591836
257,258,23593,98907,122500,0.19259591836734694
258,259,23565,98935,122500,0.1923673469387755
259,260,23954,98546,122500,0.19554285714285713
260,261,24370,98130,122500,0.19893877551020409
261,262,24505,97995,122500,0.20004081632653062
262,263,23821,98679,122500,0.19445714285714286
263,264,23663,98837,122500,0.19316734693877552
264,265,23402,99098,122500,0.19103673469387755
265,266,22149,100351,122500,0.18080816326530613
266,267,21704,100796,122500,0.17717551020408162
267,268,22204,100296,122500,0.18125714285714287
268,269,22900,99600,122500,0.18693877551020407
269,270,23781,98719,122500,0.19413061224489797
270,271,25099,97401,122500,0.20488979591836734
271,272,25224,97276,122500,0.20591020408163266
272,273,25594,96906,122500,0.20893061224489795
273,274,26005,96495,122500,0.21228571428571427
274,275,26334,96166,122500,0.21497142857142856
275,276,26260,96240,122500,0.21436734693877552
276,277,26627,95873,122500,0.21736326530612246
277,278,26985,95515,122500,0.22028571428571428
278,279,27013,95487,122500,0.22051428571428572
279,280,27037,95463,122500,0.22071020408163267
280,281,26336,96164,122500,0.21498775510204082
281,282,26064,96436,122500,0.2127673469387755
282,283,25562,96938,122500,0.20866938775510205
283,284,26904,95596,122500,0.21962448979591837
284,285,26839,95661,122500,0.21909387755102042
285,286,27065,95435,122500,0.22093877551020408
286,287,26801,95699,122500,0.21878367346938776
287,288,26559,95941,122500,0.2168081632653061
288,289,26256,96244,122500,0.21433469387755102
289,290,26071,96429,122500,0.21282448979591836
290,291,25596,96904,122500,0.2089469387755102
291,292,24828,97672,122500,0.20267755102040816
292,293,25098,97402,122500,0.20488163265306122
293,294,25693,96807,122500,0.2097387755102041
294,295,25945,96555,122500,0.21179591836734693
295,296,25999,96501,122500,0.21223673469387755
296,297,25846,96654,122500,0.21098775510204082
297,298,25405,97095,122500,0.20738775510204083
298,299,25170,97330,122500,0.20546938775510204
299,300,25494,97006,122500,0.20811428571428572
300,301,25227,97273,122500,0.20593469387755103
301,302,24471,98029,122500,0.19976326530612246
302,303,24578,97922,122500,0.20063673469387755
303,304,25014,97486,122500,0.20419591836734693
304,305,25659,96841,122500,0.20946122448979593
305,306,25776,96724,122500,0.21041632653061224
306,307,26185,96315,122500,0.21375510204081632
307,308,26139,96361,122500,0.2133795918367347
308,309,26388,96112,122500,0.21541224489795918
309,310,26232,96268,122500,0.21413877551020408
310,311,25877,96623,122500,0.2112408163265306
311,312,26697,95803,122500,0.21793469387755102
312,313,26619,95881,122500,0.21729795918367348
313,314,26391,96109,122500,0.21543673469387756
314,315,26465,96035,122500,0.2160408163265306
315,316,26228,96272,122500,0.21410612244897959
316,317,26553,95947,122500,0.21675918367346939
317,318,26074,96426,122500,0.21284897959183674
318,319,25485,97015,122500,0.20804081632653063
319,320,25265,97235,122500,0.2062448979591837
320,321,25638,96862,122500,0.20928979591836736
321,322,25697,96803,122500,0.20977142857142858
322,323,26464,96036,122500,0.2160326530612245
323,324,25931,96569,122500,0.21168163265306122
324,325,27202,95298,122500,0.22205714285714287
325,326,27275,95225,122500,0.2226530612244898
326,327,27247,95253,122500,0.22242448979591836
327,328,27958,94542,122500,0.22822857142857142
328,329,29042,93458,122500,0.23707755102040817
329,330,29529,92971,122500,0.2410530612244898
330,331,29004,93496,122500,0.23676734693877552
331,332,29612,92888,122500,0.24173061224489795
332,333,29830,92670,122500,0.24351020408163265
333,334,28802,93698,122500,0.23511836734693878
334,335,28476,94024,122500,0.23245714285714286
335,336,29100,93400,122500,0.23755102040816325
336,337,30000,92500,122500,0.24489795918367346
337,338,29805,92695,122500,0.2433061224489796
338,339,29129,93371,122500,0.2377877551020408
339,340,28554,93946,122500,0.2330938775510204
340,341,27700,94800,122500,0.22612244897959183
341,342,26570,95930,122500,0.21689795918367347
342,343,25714,96786,122500,0.20991020408163266
343,344,25988,96512,122500,0.2121469387755102
344,345,26010,96490,122500,0.2123265306122449
345,346,26239,96261,122500,0.21419591836734694
346,347,26890,95610,122500,0.21951020408163266
347,348,27048,95452,122500,0.2208
348,349,26060,96440,122500,0.212734693877551
349,350,25626,96874,122500,0.20919183673469388
