group_id,start_index,end_index,representative_index,slice_count,porosity_min,porosity_max,porosity_mean
66,269,269,269,1,0.19413061224489797,0.19413061224489797,0.19413061224489797
67,270,273,271,4,0.20488979591836734,0.21228571428571427,0.20800408163265308
68,274,281,277,8,0.2127673469387755,0.22071020408163267,0.21699591836734694
69,282,282,282,1,0.20866938775510205,0.20866938775510205,0.20866938775510205
70,283,289,286,7,0.21282448979591836,0.22093877551020408,0.2174868804664723
71,290,300,295,11,0.20267755102040816,0.21223673469387755,0.20801558441558443
72,301,304,302,4,0.19976326530612246,0.20946122448979593,0.2035142857142857
73,305,318,311,14,0.20804081632653063,0.21793469387755102,0.21405772594752187
74,319,323,321,5,0.2062448979591837,0.2160326530612245,0.2106040816326531
75,324,327,325,4,0.22205714285714287,0.22822857142857142,0.2238408163265306
76,328,333,330,6,0.23511836734693878,0.24351020408163265,0.2392095238095238
77,334,335,334,2,0.23245714285714286,0.23755102040816325,0.23500408163265307
78,336,338,337,3,0.2377877551020408,0.24489795918367346,0.2419972789115646
79,339,340,339,2,0.22612244897959183,0.2330938775510204,0.22960816326530611
80,341,346,343,6,0.20991020408163266,0.21951020408163266,0.21416462585034013
81,347,348,347,2,0.212734693877551,0.2208,0.2167673469387755
82,349,349,349,1,0.20919183673469388,0.20919183673469388,0.20919183673469388
