pore_id,pore_volume_m3,pore_radius_m,shape_factor,clay_volume,pore_volume_um3,pore_radius_um,pore_diameter_um,equivalent_t2_ms
74,4.520647e-13,2.634655e-05,0.0215688,0.0,452064.69999999995,26.34655,52.6931,1756.4366666666667
75,6.546763e-13,2.664378e-05,0.02390775,0.0,654676.2999999999,26.64378,53.28756,1776.252
76,1.366953e-13,2.623317e-05,0.03710196,0.0,136695.3,26.233169999999998,52.466339999999995,1748.878
77,3.525425e-13,2.588522e-05,0.03382104,0.0,352542.5,25.88522,51.77044,1725.6813333333334
78,1.624163e-13,2.574973e-05,0.02833004,0.0,162416.3,25.74973,51.49946,1716.6486666666667
79,1.361503e-13,2.630973e-05,0.03129269,0.0,136150.3,26.30973,52.61946,1753.982
80,3.221855e-14,2.697672e-05,0.05354344,0.0,32218.550000000003,26.97672,53.95344,1798.448
81,2.505148e-13,2.578976e-05,0.0254149,0.0,250514.80000000002,25.789759999999998,51.579519999999995,1719.3173333333332
82,1.799695e-13,2.602862e-05,0.03352202,0.0,179969.5,26.02862,52.05724,1735.2413333333334
83,8.923801e-14,2.549984e-05,0.02793681,0.0,89238.01,25.49984,50.99968,1699.9893333333334
84,1.015323e-13,2.573883e-05,0.03053899,0.0,101532.3,25.73883,51.47766,1715.922
85,1.690978e-13,2.549241e-05,0.03103772,0.0,169097.8,25.49241,50.98482,1699.4940000000001
86,2.541245e-13,2.547508e-05,0.03009911,0.0,254124.5,25.475080000000002,50.950160000000004,1698.3386666666668
87,1.867359e-13,2.557003e-05,0.02748266,0.0,186735.9,25.57003,51.14006,1704.6686666666667
88,1.511129e-13,2.521999e-05,0.03954333,0.0,151112.9,25.21999,50.43998,1681.3326666666667
89,2.096612e-13,2.473141e-05,0.02689223,0.0,209661.2,24.73141,49.46282,1648.7606666666668
90,1.575255e-13,2.522495e-05,0.02823223,0.0,157525.5,25.22495,50.4499,1681.6633333333334
91,1.467459e-13,2.523069e-05,0.03185815,0.0,146745.90000000002,25.230690000000003,50.461380000000005,1682.0460000000003
92,2.017623e-13,2.525303e-05,0.02486935,0.0,201762.30000000002,25.25303,50.50606,1683.5353333333333
93,1.499309e-13,2.496416e-05,0.0264144,0.0,149930.9,24.96416,49.92832,1664.2773333333334
94,1.574618e-13,2.495182e-05,0.02865995,0.0,157461.8,24.951819999999998,49.903639999999996,1663.4546666666665
95,7.426828e-14,2.42878e-05,0.0313678,0.0,74268.28,24.2878,48.5756,1619.1866666666667
96,1.583819e-13,2.403341e-05,0.02520214,0.0,158381.9,24.03341,48.06682,1602.2273333333335
97,1.371978e-13,2.420105e-05,0.03031673,0.0,137197.80000000002,24.201050000000002,48.402100000000004,1613.4033333333336
98,5.830764e-14,2.381338e-05,0.02614752,0.0,58307.64,23.81338,47.62676,1587.5586666666666
99,2.786635e-13,2.347286e-05,0.01976089,0.0,278663.5,23.47286,46.94572,1564.8573333333334
100,2.140353e-13,2.374076e-05,0.02096673,0.0,214035.3,23.740759999999998,47.481519999999996,1582.7173333333333
101,8.904691e-14,2.46392e-05,0.0358034,0.0,89046.91,24.6392,49.2784,1642.6133333333332
102,1.244151e-13,2.428121e-05,0.03155318,0.0,124415.09999999999,24.28121,48.56242,1618.7473333333335
103,1.48756e-13,2.412174e-05,0.02943859,0.0,148756.0,24.12174,48.24348,1608.116
104,1.198711e-13,2.392012e-05,0.03163994,0.0,119871.1,23.92012,47.84024,1594.6746666666668
105,1.236436e-13,2.397205e-05,0.02911832,0.0,123643.6,23.97205,47.9441,1598.1366666666668
106,2.372225e-13,2.38115e-05,0.04291232,0.0,237222.5,23.811500000000002,47.623000000000005,1587.4333333333336
107,1.049934e-13,2.313191e-05,0.03081955,0.0,104993.4,23.131909999999998,46.263819999999996,1542.1273333333334
108,2.023851e-13,2.366407e-05,0.03355132,0.0,202385.1,23.66407,47.32814,1577.6046666666666
109,1.431149e-13,2.382497e-05,0.04382597,0.0,143114.90000000002,23.82497,47.64994,1588.3313333333335
110,4.179422e-13,2.345198e-05,0.02684922,0.0,417942.2,23.45198,46.90396,1563.4653333333333
111,4.552214e-13,2.427643e-05,0.02766732,0.0,455221.39999999997,24.276429999999998,48.552859999999995,1618.4286666666667
112,1.992567e-13,2.292373e-05,0.03812549,0.0,199256.69999999998,22.923730000000003,45.847460000000005,1528.2486666666668
113,1.187386e-13,2.285668e-05,0.03621055,0.0,118738.6,22.85668,45.71336,1523.7786666666668
114,1.190572e-13,2.268502e-05,0.03069445,0.0,119057.2,22.685019999999998,45.370039999999996,1512.3346666666666
115,2.012739e-13,2.320183e-05,0.02809994,0.0,201273.9,23.20183,46.40366,1546.7886666666668
116,2.465724e-13,2.30595e-05,0.02157911,0.0,246572.4,23.0595,46.119,1537.3
117,1.197012e-13,2.33254e-05,0.02888074,0.0,119701.2,23.3254,46.6508,1555.0266666666666
118,2.004741e-13,2.311729e-05,0.02859237,0.0,200474.1,23.11729,46.23458,1541.1526666666668
119,1.171815e-13,2.267178e-05,0.03330366,0.0,117181.5,22.671780000000002,45.343560000000004,1511.4520000000002
120,1.689917e-13,2.317155e-05,0.02417618,0.0,168991.69999999998,23.17155,46.3431,1544.77
121,1.748026e-13,2.279686e-05,0.02582419,0.0,174802.6,22.79686,45.59372,1519.7906666666665
122,1.958806e-13,2.346877e-05,0.03250225,0.0,195880.6,23.46877,46.93754,1564.5846666666666
123,1.000459e-13,2.31982e-05,0.03896675,0.0,100045.9,23.1982,46.3964,1546.5466666666666
124,3.029336e-13,2.30194e-05,0.02544795,0.0,302933.60000000003,23.019399999999997,46.038799999999995,1534.6266666666666
125,3.555931e-13,2.264371e-05,0.0391193,0.0,355593.10000000003,22.64371,45.28742,1509.5806666666667
126,2.977243e-13,2.193138e-05,0.02395526,0.0,297724.3,21.93138,43.86276,1462.092
127,1.537246e-13,2.228347e-05,0.02480537,0.0,153724.6,22.283469999999998,44.566939999999995,1485.5646666666667
128,2.689527e-13,2.240065e-05,0.02144308,0.0,268952.7,22.40065,44.8013,1493.3766666666666
129,8.15585e-14,2.225844e-05,0.03856572,0.0,81558.5,22.25844,44.51688,1483.896
130,1.320522e-13,2.223303e-05,0.02910086,0.0,132052.2,22.23303,44.46606,1482.202
131,9.158079e-14,2.226523e-05,0.02896519,0.0,91580.79,22.26523,44.53046,1484.3486666666668
132,9.57072e-14,2.159565e-05,0.03324249,0.0,95707.2,21.59565,43.1913,1439.71
133,1.334607e-13,2.213205e-05,0.02344838,0.0,133460.69999999998,22.13205,44.2641,1475.47
134,1.573273e-13,2.210979e-05,0.02135483,0.0,157327.30000000002,22.10979,44.21958,1473.986
135,8.557167e-14,2.161396e-05,0.03516519,0.0,85571.67,21.613960000000002,43.227920000000005,1440.9306666666669
136,1.04144e-13,2.145262e-05,0.03328104,0.0,104144.0,21.45262,42.90524,1430.1746666666668
137,1.284141e-13,2.201625e-05,0.0337787,0.0,128414.1,22.01625,44.0325,1467.75
138,2.005803e-13,2.137878e-05,0.0256457,0.0,200580.30000000002,21.378780000000003,42.757560000000005,1425.2520000000002
139,1.743708e-13,2.199471e-05,0.0235956,0.0,174370.8,21.994709999999998,43.989419999999996,1466.3139999999999
140,1.711787e-13,2.18184e-05,0.01888149,0.0,171178.69999999998,21.8184,43.6368,1454.5600000000002
141,1.199136e-13,2.243834e-05,0.04033164,0.0,119913.6,22.43834,44.87668,1495.8893333333333
142,1.054959e-13,2.152373e-05,0.02611786,0.0,105495.9,21.52373,43.04746,1434.9153333333334
143,1.305092e-13,2.278709e-05,0.02994495,0.0,130509.20000000001,22.78709,45.57418,1519.1393333333333
144,9.890641e-14,2.140475e-05,0.01572577,0.0,98906.40999999999,21.40475,42.8095,1426.9833333333333
145,5.595778e-14,2.086964e-05,0.03397668,0.0,55957.78,20.86964,41.73928,1391.3093333333334
146,1.359379e-13,2.162701e-05,0.02281285,0.0,135937.9,21.62701,43.25402,1441.8006666666665
147,3.869411e-13,2.11139e-05,0.06793662,0.0,386941.1,21.1139,42.2278,1407.5933333333335
148,1.068478e-13,2.114455e-05,0.04005041,0.0,106847.8,21.144550000000002,42.289100000000005,1409.6366666666668
149,1.815337e-13,2.10841e-05,0.04176628,0.0,181533.7,21.0841,42.1682,1405.6066666666666
