slice_index_0_based,slice_index_1_based,pore_px,solid_px,total_px,porosity
231,232,101074,342482,443556,0.22787201616030445
232,233,101337,342219,443556,0.22846495143792442
233,234,101705,341851,443556,0.22929460992524056
234,235,101701,341855,443556,0.22928559189820452
235,236,101476,342080,443556,0.22877832787742697
236,237,101287,342269,443556,0.22835222609997385
237,238,101347,342209,443556,0.22848749650551453
238,239,101529,342027,443556,0.22889781673565457
239,240,101514,342042,443556,0.2288639991342694
240,241,102091,341465,443556,0.2301648495342189
241,242,102401,341155,443556,0.2308637466295124
242,243,102411,341145,443556,0.2308862916971025
243,244,102464,341092,443556,0.2310057805553301
244,245,102256,341300,443556,0.23053684314945577
245,246,102197,341359,443556,0.2304038272506741
246,247,102150,341406,443556,0.23029786543300057
247,248,102055,341501,443556,0.2300836872908945
248,249,101780,341776,443556,0.2294636979321664
249,250,101100,342456,443556,0.22793063333603875
250,251,100194,343362,443556,0.22588805021237454
251,252,99336,344220,443556,0.22395368341314287
252,253,98525,345031,443556,0.22212527843158475
253,254,98116,345440,443556,0.22120318516714912
254,255,97461,346095,443556,0.21972648323999674
255,256,96902,346654,443556,0.21846621396170945
256,257,96427,347129,443556,0.2173953232511791
257,258,95819,347737,443556,0.21602458314170025
258,259,94676,348880,443556,0.21344768191615038
259,260,93110,350446,443556,0.20991712433153875
260,261,91735,351821,443556,0.20681717753789827
261,262,90660,352896,443556,0.20439358277196115
262,263,89443,354113,443556,0.20164984804624445
263,264,87956,355600,443556,0.1982973964955947
264,265,87197,356359,443556,0.19658622586550514
265,266,86351,357205,443556,0.19467891314738162
266,267,85377,358179,443556,0.19248302356410465
267,268,84720,358836,443556,0.19100181262343424
268,269,84100,359456,443556,0.18960401843284727
269,270,83087,360469,443556,0.18732020308596886
270,271,81813,361743,443556,0.18444796147498851
271,272,80878,362678,443556,0.18233999765531297
272,273,80107,363449,443556,0.18060177294411528
273,274,79737,363819,443556,0.17976760544328113
274,275,79137,364419,443556,0.17841490138787436
275,276,78416,365140,443556,0.17678940201462723
276,277,77979,365577,443556,0.17580418256093933
277,278,77680,365876,443556,0.17513008503999494
278,279,77290,366266,443556,0.17425082740398057
279,280,77009,366547,443556,0.1736173110046984
280,281,76384,367172,443556,0.17220824428031636
281,282,75674,367882,443556,0.17060754448141835
282,283,74472,369084,443556,0.16789762735708683
283,284,73443,370113,443556,0.16557773990206423
284,285,72414,371142,443556,0.16325785244704163
285,286,71789,371767,443556,0.1618487857226596
286,287,71112,372444,443556,0.16032248464680898
287,288,70689,372867,443556,0.1593688282877472
288,289,70542,373014,443556,0.15903741579417255
289,290,69705,373851,443556,0.15715039363688013
290,291,68688,374868,443556,0.15485756026296568
291,292,67424,376132,443556,0.15200786371957542
292,293,66390,377166,443556,0.14967670373075778
293,294,65409,378147,443556,0.14746503260016774
294,295,64312,379244,443556,0.1449918386855324
295,296,63418,380138,443556,0.1429763096429763
296,297,62345,381211,443556,0.14055722389055722
297,298,61364,382192,443556,0.13834555275996718
298,299,60706,382850,443556,0.13686208731253777
299,300,60059,383497,443556,0.13540342143945747
300,301,59545,384011,443556,0.1342446049653257
301,302,59264,384292,443556,0.13361108856604353
302,303,58973,384583,443556,0.13295502709917123
303,304,58545,385011,443556,0.1319900982063144
304,305,57735,385821,443556,0.1301639477315153
305,306,56595,386961,443556,0.12759381002624245
306,307,55577,387979,443556,0.125298722145569
307,308,54681,388875,443556,0.1232786840894949
308,309,53832,389724,443556,0.12136460785109433
309,310,53072,390484,443556,0.11965118271424578
310,311,52335,391221,443556,0.11798961123285448
311,312,52008,391548,443556,0.11725238752265779
312,313,51525,392031,443556,0.11616346075805535
313,314,50755,392801,443556,0.11442749055361667
314,315,49978,393578,443556,0.11267573880186493
315,316,49056,394500,443556,0.11059708357005654
316,317,47915,395641,443556,0.10802469135802469
317,318,46991,396565,443556,0.10594152711269829
318,319,46269,397287,443556,0.10431377323269216
319,320,45402,398154,443556,0.10235911587262939
320,321,44167,399389,443556,0.09957480002525047
321,322,42731,400825,443556,0.0963373283193103
322,323,41213,402343,443556,0.0929149870591312
323,324,39722,403834,443556,0.08955351748144541
324,325,37970,405586,443556,0.08560362163965768
325,326,35947,407609,443556,0.0810427544661779
326,327,34468,409088,443556,0.07770833896960024
327,328,32597,410959,443556,0.07349015682349015
328,329,30722,412834,443556,0.06926295665034404
329,330,29300,414256,443556,0.06605704803903002
330,331,28334,415222,443556,0.06387919450982514
331,332,27797,415759,443556,0.0626685243802361
332,333,27106,416450,443556,0.06111066020975931
333,334,26442,417114,443556,0.05961366772177583
334,335,25779,417777,443556,0.05811892974055136
335,336,25111,418445,443556,0.05661291922553184
336,337,24384,419172,443556,0.05497389281173065
337,338,23595,419961,443556,0.053195086978870765
338,339,22983,420573,443556,0.051815328842355866
339,340,22874,420682,443556,0.05156958760562364
340,341,22974,420582,443556,0.05179503828152477
341,342,22945,420611,443556,0.05172965758551344
342,343,23062,420494,443556,0.05199343487631776
343,344,23350,420206,443556,0.052642732822913006
344,345,23357,420199,443556,0.05265851437022608
345,346,23250,420306,443556,0.05241728214701188
346,347,23492,420064,443556,0.0529628727826926
347,348,23814,419742,443556,0.05368882395909423
348,349,24337,419219,443556,0.054867930994057124
349,350,25149,418407,443556,0.056698590482374266
350,351,25958,417598,443556,0.05852248645041438
351,352,26685,416871,443556,0.06016151286421557
352,353,27613,415943,443556,0.06225369513657802
353,354,28802,414754,443556,0.06493430367304241
354,355,29940,413616,443556,0.06749993236479723
355,356,31094,412462,443556,0.07010163316469623
356,357,31983,411573,443556,0.07210588967345724
357,358,32753,410803,443556,0.07384185987789592
