equivalent_t2_ms_center,pore_diameter_um_center,volume_weighted_count,normalized_volume_weighted_count,display_equivalent_t2_ms_center,display_alignment_scale,display_alignment_shift_ms,top_axis_min_um,top_axis_max_um
833.6528644827878,25.00958593448363,2169719.4850000106,0.030702429173286264,833.6528644827878,1.0,0.0,0.9115262956731514,3000.0
880.1098938212837,26.40329681463851,2156710.3429999873,0.03051834442702196,880.1098938212837,1.0,0.0,0.9115262956731514,3000.0
929.1558371633281,27.87467511489984,2357219.8220000267,0.03335563658397155,929.1558371633281,1.0,0.0,0.9115262956731514,3000.0
980.9349670940005,29.428049012820015,2254215.3200000003,0.03189808022747074,980.9349670940005,1.0,0.0,0.9115262956731514,3000.0
1035.5995960864482,31.067987882593446,2084671.6000000015,0.02949896638300277,1035.5995960864482,1.0,0.0,0.9115262956731514,3000.0
1093.3105245412694,32.79931573623808,2230610.5900000036,0.03156406352347297,1093.3105245412694,1.0,0.0,0.9115262956731514,3000.0
1154.237513793819,34.62712541381457,2333332.0800000057,0.033017615142980815,1154.237513793819,1.0,0.0,0.9115262956731514,3000.0
1218.5597854808243,36.55679356442473,2086993.0700000003,0.029531816144801756,1218.5597854808243,1.0,0.0,0.9115262956731514,3000.0
1286.4665487352354,38.59399646205706,3649486.339999981,0.05164174292914394,1286.4665487352354,1.0,0.0,0.9115262956731514,3000.0
1358.1575567600999,40.74472670280299,3366540.849999994,0.047637947080564305,1358.1575567600999,1.0,0.0,0.9115262956731514,3000.0
1433.8436944186678,43.01531083256003,2500263.879999995,0.03537976923787702,1433.8436944186678,1.0,0.0,0.9115262956731514,3000.0
1513.7475985691713,45.41242795707514,3838466.140000023,0.05431588535391138,1513.7475985691713,1.0,0.0,0.9115262956731514,3000.0
1598.1043129690388,47.94312938907116,3089306.920000002,0.043714972171088155,1598.1043129690388,1.0,0.0,0.9115262956731514,3000.0
1687.1619796750026,50.614859390250075,2829449.520000018,0.040037882356570596,1687.1619796750026,1.0,0.0,0.9115262956731514,3000.0
1781.1825689729055,53.435477069187165,1722262.549999997,0.024370728255306257,1781.1825689729055,1.0,0.0,0.9115262956731514,3000.0
1880.442649984359,56.413279499530766,1823440.899999991,0.025802443804814154,1880.442649984359,1.0,0.0,0.9115262956731514,3000.0
1985.234204217045,59.55702612651135,1840611.799999997,0.026045419150123258,1985.234204217045,1.0,0.0,0.9115262956731514,3000.0
2095.8654844517955,62.87596453355386,3668334.8400000185,0.05190845700913195,2095.8654844517955,1.0,0.0,0.9115262956731514,3000.0
2212.661921492922,66.37985764478765,1813751.299999997,0.02566533195244155,2212.661921492922,1.0,0.0,0.9115262956731514,3000.0
2335.967081449092,70.07901244347275,3877882.799999997,0.05487364741498109,2335.967081449092,1.0,0.0,0.9115262956731514,3000.0
2466.143676360656,73.98431029081968,2863169.0,0.040515026961491486,2466.143676360656,1.0,0.0,0.9115262956731514,3000.0
2603.574631146273,78.10723893438819,956767.6000000089,0.013538657728510565,2603.574631146273,1.0,0.0,0.9115262956731514,3000.0
2748.664210007337,82.4599263002201,6693487.700000003,0.09471562266562392,2748.664210007337,1.0,0.0,0.9115262956731514,3000.0
2901.8392056036255,87.05517616810876,1381143.700000003,0.019543755273682493,2901.8392056036255,1.0,0.0,0.9115262956731514,3000.0
3063.550194498222,91.90650583494666,3916104.0,0.0554144932220224,3063.550194498222,1.0,0.0,0.9115262956731514,3000.0
3234.2728625646955,97.02818587694087,3055552.400000006,0.04323733173565733,3234.2728625646955,1.0,0.0,0.9115262956731514,3000.0
3414.509404255332,102.43528212765996,1556888.0,0.022030609892752597,3414.509404255332,1.0,0.0,0.9115262956731514,3000.0
3604.78999984649,108.1436999953947,6559680.400000006,0.0928221939622731,3604.78999984649,1.0,0.0,0.9115262956731514,3000.0
3805.6743750065093,114.17023125019527,4321241.0,0.06114734953546313,3805.6743750065093,1.0,0.0,0.9115262956731514,3000.0
4017.753447273752,120.53260341821256,0.0,0.0,4017.753447273752,1.0,0.0,0.9115262956731514,3000.0
4241.651064288052,127.24953192864156,2564623.0,0.036290477436386456,4241.651064288052,1.0,0.0,0.9115262956731514,3000.0
4478.025838888689,134.34077516666065,2495543.0,0.035312966831004856,4478.025838888689,1.0,0.0,0.9115262956731514,3000.0
4727.573086477004,141.8271925943101,0.0,0.0,4727.573086477004,1.0,0.0,0.9115262956731514,3000.0
4991.0268703425545,149.73080611027663,5637580.0,0.0797740914691257,4991.0268703425545,1.0,0.0,0.9115262956731514,3000.0
5269.162160969286,158.07486482907856,0.0,0.0,5269.162160969286,1.0,0.0,0.9115262956731514,3000.0
5562.797115673504,166.8839134702051,10457344.999999985,0.1479757620387122,5562.797115673504,1.0,0.0,0.9115262956731514,3000.0
5872.795485279394,176.1838645583818,0.0,0.0,5872.795485279394,1.0,0.0,0.9115262956731514,3000.0
6200.069154911513,186.00207464734538,0.0,0.0,6200.069154911513,1.0,0.0,0.9115262956731514,3000.0
6545.580826378185,196.36742479134554,0.0,0.0,6545.580826378185,1.0,0.0,0.9115262956731514,3000.0
6910.34685003626,207.31040550108779,0.0,0.0,6910.34685003626,1.0,0.0,0.9115262956731514,3000.0
7295.440214467383,218.8632064340215,0.0,0.0,7295.440214467383,1.0,0.0,0.9115262956731514,3000.0
7701.993702760173,231.05981108280517,0.0,0.0,7701.993702760173,1.0,0.0,0.9115262956731514,3000.0
8131.203224682745,243.93609674048233,0.0,0.0,8131.203224682745,1.0,0.0,0.9115262956731514,3000.0
8584.331334547423,257.5299400364227,0.0,0.0,8584.331334547423,1.0,0.0,0.9115262956731514,3000.0
9062.710945115748,271.88132835347244,0.0,0.0,9062.710945115748,1.0,0.0,0.9115262956731514,3000.0
9567.749248468499,287.03247745405497,0.0,0.0,9567.749248468499,1.0,0.0,0.9115262956731514,3000.0
10100.931855374363,303.02795566123086,36503600.0,0.5165410557991864,10100.931855374363,1.0,0.0,0.9115262956731514,3000.0
10663.8271653334,319.914814960002,0.0,0.0,10663.8271653334,1.0,0.0,0.9115262956731514,3000.0
11258.090980150266,337.74272940450794,0.0,0.0,11258.090980150266,1.0,0.0,0.9115262956731514,3000.0
11885.471374608316,356.5641412382495,0.0,0.0,11885.471374608316,1.0,0.0,0.9115262956731514,3000.0
12547.813838572143,376.43441515716427,70669310.0,1.0,12547.813838572143,1.0,0.0,0.9115262956731514,3000.0
13247.066705644329,397.41200116932987,0.0,0.0,13247.066705644329,1.0,0.0,0.9115262956731514,3000.0
13985.28688434539,419.5586065303617,0.0,0.0,13985.28688434539,1.0,0.0,0.9115262956731514,3000.0
14764.645908675517,442.9393772602655,0.0,0.0,14764.645908675517,1.0,0.0,0.9115262956731514,3000.0
