group_id,start_index,end_index,representative_index,slice_count,porosity_min,porosity_max,porosity_mean,used_representative_index,used_representative_1_based,weight_slice_count,attempted_representatives,group_output_dir,decay_csv,mesh_png
13,98,102,100,5,0.2297004211418626,0.2387116846576306,0.23391905418932443,99,100,5,"100,99",C:\Users\imgw\Documents\Codex\NMR模拟\simulation_outputs\sample_16_porosity_grouped_nmr_topaxis\group_runs\group_013_slice_0099,C:\Users\imgw\Documents\Codex\NMR模拟\simulation_outputs\sample_16_porosity_grouped_nmr_topaxis\group_runs\group_013_slice_0099\average_normalized_decay.csv,C:\Users\imgw\Documents\Codex\NMR模拟\simulation_outputs\sample_16_porosity_grouped_nmr_topaxis\representative_mesh_figures\group_013_slice_0099_count_005_mesh.png
14,103,126,114,24,0.22589030471913354,0.23484069655240827,0.23090930645360075,114,115,24,114,C:\Users\imgw\Documents\Codex\NMR模拟\simulation_outputs\sample_16_porosity_grouped_nmr_topaxis\group_runs\group_014_slice_0114,C:\Users\imgw\Documents\Codex\NMR模拟\simulation_outputs\sample_16_porosity_grouped_nmr_topaxis\group_runs\group_014_slice_0114\average_normalized_decay.csv,C:\Users\imgw\Documents\Codex\NMR模拟\simulation_outputs\sample_16_porosity_grouped_nmr_topaxis\representative_mesh_figures\group_014_slice_0114_count_024_mesh.png
15,127,173,150,47,0.21476431386341296,0.22345543741940138,0.21988631337874198,149,150,47,"150,149",C:\Users\imgw\Documents\Codex\NMR模拟\simulation_outputs\sample_16_porosity_grouped_nmr_topaxis\group_runs\group_015_slice_0149,C:\Users\imgw\Documents\Codex\NMR模拟\simulation_outputs\sample_16_porosity_grouped_nmr_topaxis\group_runs\group_015_slice_0149\average_normalized_decay.csv,C:\Users\imgw\Documents\Codex\NMR模拟\simulation_outputs\sample_16_porosity_grouped_nmr_topaxis\representative_mesh_figures\group_015_slice_0149_count_047_mesh.png
16,174,195,184,22,0.20997348700051402,0.21909747585423262,0.2138830066757995,184,185,22,184,C:\Users\imgw\Documents\Codex\NMR模拟\simulation_outputs\sample_16_porosity_grouped_nmr_topaxis\group_runs\group_016_slice_0184,C:\Users\imgw\Documents\Codex\NMR模拟\simulation_outputs\sample_16_porosity_grouped_nmr_topaxis\group_runs\group_016_slice_0184\average_normalized_decay.csv,C:\Users\imgw\Documents\Codex\NMR模拟\simulation_outputs\sample_16_porosity_grouped_nmr_topaxis\representative_mesh_figures\group_016_slice_0184_count_022_mesh.png
17,196,200,198,5,0.22040508977445913,0.22983118253388524,0.22502592682772865,198,199,5,198,C:\Users\imgw\Documents\Codex\NMR模拟\simulation_outputs\sample_16_porosity_grouped_nmr_topaxis\group_runs\group_017_slice_0198,C:\Users\imgw\Documents\Codex\NMR模拟\simulation_outputs\sample_16_porosity_grouped_nmr_topaxis\group_runs\group_017_slice_0198\average_normalized_decay.csv,C:\Users\imgw\Documents\Codex\NMR模拟\simulation_outputs\sample_16_porosity_grouped_nmr_topaxis\representative_mesh_figures\group_017_slice_0198_count_005_mesh.png
18,201,216,208,16,0.2328251675098522,0.24104509915320727,0.23806168217767315,209,210,16,"208,209",C:\Users\imgw\Documents\Codex\NMR模拟\simulation_outputs\sample_16_porosity_grouped_nmr_topaxis\group_runs\group_018_slice_0209,C:\Users\imgw\Documents\Codex\NMR模拟\simulation_outputs\sample_16_porosity_grouped_nmr_topaxis\group_runs\group_018_slice_0209\average_normalized_decay.csv,C:\Users\imgw\Documents\Codex\NMR模拟\simulation_outputs\sample_16_porosity_grouped_nmr_topaxis\representative_mesh_figures\group_018_slice_0209_count_016_mesh.png
19,217,240,228,24,0.2206012318624931,0.2305458611764918,0.22600011798585373,228,229,24,228,C:\Users\imgw\Documents\Codex\NMR模拟\simulation_outputs\sample_16_porosity_grouped_nmr_topaxis\group_runs\group_019_slice_0228,C:\Users\imgw\Documents\Codex\NMR模拟\simulation_outputs\sample_16_porosity_grouped_nmr_topaxis\group_runs\group_019_slice_0228\average_normalized_decay.csv,C:\Users\imgw\Documents\Codex\NMR模拟\simulation_outputs\sample_16_porosity_grouped_nmr_topaxis\representative_mesh_figures\group_019_slice_0228_count_024_mesh.png
20,241,253,247,13,0.22120318516714912,0.2310057805553301,0.22804942849987894,247,248,13,247,C:\Users\imgw\Documents\Codex\NMR模拟\simulation_outputs\sample_16_porosity_grouped_nmr_topaxis\group_runs\group_020_slice_0247,C:\Users\imgw\Documents\Codex\NMR模拟\simulation_outputs\sample_16_porosity_grouped_nmr_topaxis\group_runs\group_020_slice_0247\average_normalized_decay.csv,C:\Users\imgw\Documents\Codex\NMR模拟\simulation_outputs\sample_16_porosity_grouped_nmr_topaxis\representative_mesh_figures\group_020_slice_0247_count_013_mesh.png
21,254,259,256,6,0.20991712433153875,0.21972648323999674,0.21582956830704578,256,257,6,256,C:\Users\imgw\Documents\Codex\NMR模拟\simulation_outputs\sample_16_porosity_grouped_nmr_topaxis\group_runs\group_021_slice_0256,C:\Users\imgw\Documents\Codex\NMR模拟\simulation_outputs\sample_16_porosity_grouped_nmr_topaxis\group_runs\group_021_slice_0256\average_normalized_decay.csv,C:\Users\imgw\Documents\Codex\NMR模拟\simulation_outputs\sample_16_porosity_grouped_nmr_topaxis\representative_mesh_figures\group_021_slice_0256_count_006_mesh.png
22,260,263,261,4,0.1982973964955947,0.20681717753789827,0.20278950121292466,261,262,4,261,C:\Users\imgw\Documents\Codex\NMR模拟\simulation_outputs\sample_16_porosity_grouped_nmr_topaxis\group_runs\group_022_slice_0261,C:\Users\imgw\Documents\Codex\NMR模拟\simulation_outputs\sample_16_porosity_grouped_nmr_topaxis\group_runs\group_022_slice_0261\average_normalized_decay.csv,C:\Users\imgw\Documents\Codex\NMR模拟\simulation_outputs\sample_16_porosity_grouped_nmr_topaxis\representative_mesh_figures\group_022_slice_0261_count_004_mesh.png
