group_id,slice_index_0_based,slice_index_1_based,weight_slice_count,mesh_png,source_mesh_png
38,124,125,1,C:\Users\imgw\Documents\Codex\NMR模拟\simulation_outputs\niu2020_berea_porosity_grouped_nmr_topaxis_down32_jitter\representative_mesh_figures\group_038_slice_0124_count_001_mesh.png,C:\Users\imgw\Documents\Codex\NMR模拟\simulation_outputs\niu2020_berea_porosity_grouped_nmr_topaxis_down32_jitter\group_runs\group_038_slice_0124\berea_group038_slice_0124_triangular_mesh.png
39,125,126,2,C:\Users\imgw\Documents\Codex\NMR模拟\simulation_outputs\niu2020_berea_porosity_grouped_nmr_topaxis_down32_jitter\representative_mesh_figures\group_039_slice_0125_count_002_mesh.png,C:\Users\imgw\Documents\Codex\NMR模拟\simulation_outputs\niu2020_berea_porosity_grouped_nmr_topaxis_down32_jitter\group_runs\group_039_slice_0125\berea_group039_slice_0125_triangular_mesh.png
40,127,128,1,C:\Users\imgw\Documents\Codex\NMR模拟\simulation_outputs\niu2020_berea_porosity_grouped_nmr_topaxis_down32_jitter\representative_mesh_figures\group_040_slice_0127_count_001_mesh.png,C:\Users\imgw\Documents\Codex\NMR模拟\simulation_outputs\niu2020_berea_porosity_grouped_nmr_topaxis_down32_jitter\group_runs\group_040_slice_0127\berea_group040_slice_0127_triangular_mesh.png
41,129,130,3,C:\Users\imgw\Documents\Codex\NMR模拟\simulation_outputs\niu2020_berea_porosity_grouped_nmr_topaxis_down32_jitter\representative_mesh_figures\group_041_slice_0129_count_003_mesh.png,C:\Users\imgw\Documents\Codex\NMR模拟\simulation_outputs\niu2020_berea_porosity_grouped_nmr_topaxis_down32_jitter\group_runs\group_041_slice_0129\berea_group041_slice_0129_triangular_mesh.png
42,131,132,1,C:\Users\imgw\Documents\Codex\NMR模拟\simulation_outputs\niu2020_berea_porosity_grouped_nmr_topaxis_down32_jitter\representative_mesh_figures\group_042_slice_0131_count_001_mesh.png,C:\Users\imgw\Documents\Codex\NMR模拟\simulation_outputs\niu2020_berea_porosity_grouped_nmr_topaxis_down32_jitter\group_runs\group_042_slice_0131\berea_group042_slice_0131_triangular_mesh.png
43,135,136,7,C:\Users\imgw\Documents\Codex\NMR模拟\simulation_outputs\niu2020_berea_porosity_grouped_nmr_topaxis_down32_jitter\representative_mesh_figures\group_043_slice_0135_count_007_mesh.png,C:\Users\imgw\Documents\Codex\NMR模拟\simulation_outputs\niu2020_berea_porosity_grouped_nmr_topaxis_down32_jitter\group_runs\group_043_slice_0135\berea_group043_slice_0135_triangular_mesh.png
44,141,142,6,C:\Users\imgw\Documents\Codex\NMR模拟\simulation_outputs\niu2020_berea_porosity_grouped_nmr_topaxis_down32_jitter\representative_mesh_figures\group_044_slice_0141_count_006_mesh.png,C:\Users\imgw\Documents\Codex\NMR模拟\simulation_outputs\niu2020_berea_porosity_grouped_nmr_topaxis_down32_jitter\group_runs\group_044_slice_0141\berea_group044_slice_0141_triangular_mesh.png
45,153,154,17,C:\Users\imgw\Documents\Codex\NMR模拟\simulation_outputs\niu2020_berea_porosity_grouped_nmr_topaxis_down32_jitter\representative_mesh_figures\group_045_slice_0153_count_017_mesh.png,C:\Users\imgw\Documents\Codex\NMR模拟\simulation_outputs\niu2020_berea_porosity_grouped_nmr_topaxis_down32_jitter\group_runs\group_045_slice_0153\berea_group045_slice_0153_triangular_mesh.png
46,162,163,2,C:\Users\imgw\Documents\Codex\NMR模拟\simulation_outputs\niu2020_berea_porosity_grouped_nmr_topaxis_down32_jitter\representative_mesh_figures\group_046_slice_0162_count_002_mesh.png,C:\Users\imgw\Documents\Codex\NMR模拟\simulation_outputs\niu2020_berea_porosity_grouped_nmr_topaxis_down32_jitter\group_runs\group_046_slice_0162\berea_group046_slice_0162_triangular_mesh.png
47,165,166,3,C:\Users\imgw\Documents\Codex\NMR模拟\simulation_outputs\niu2020_berea_porosity_grouped_nmr_topaxis_down32_jitter\representative_mesh_figures\group_047_slice_0165_count_003_mesh.png,C:\Users\imgw\Documents\Codex\NMR模拟\simulation_outputs\niu2020_berea_porosity_grouped_nmr_topaxis_down32_jitter\group_runs\group_047_slice_0165\berea_group047_slice_0165_triangular_mesh.png
48,168,169,4,C:\Users\imgw\Documents\Codex\NMR模拟\simulation_outputs\niu2020_berea_porosity_grouped_nmr_topaxis_down32_jitter\representative_mesh_figures\group_048_slice_0168_count_004_mesh.png,C:\Users\imgw\Documents\Codex\NMR模拟\simulation_outputs\niu2020_berea_porosity_grouped_nmr_topaxis_down32_jitter\group_runs\group_048_slice_0168\berea_group048_slice_0168_triangular_mesh.png
49,174,175,8,C:\Users\imgw\Documents\Codex\NMR模拟\simulation_outputs\niu2020_berea_porosity_grouped_nmr_topaxis_down32_jitter\representative_mesh_figures\group_049_slice_0174_count_008_mesh.png,C:\Users\imgw\Documents\Codex\NMR模拟\simulation_outputs\niu2020_berea_porosity_grouped_nmr_topaxis_down32_jitter\group_runs\group_049_slice_0174\berea_group049_slice_0174_triangular_mesh.png
50,179,180,2,C:\Users\imgw\Documents\Codex\NMR模拟\simulation_outputs\niu2020_berea_porosity_grouped_nmr_topaxis_down32_jitter\representative_mesh_figures\group_050_slice_0179_count_002_mesh.png,C:\Users\imgw\Documents\Codex\NMR模拟\simulation_outputs\niu2020_berea_porosity_grouped_nmr_topaxis_down32_jitter\group_runs\group_050_slice_0179\berea_group050_slice_0179_triangular_mesh.png
51,186,187,12,C:\Users\imgw\Documents\Codex\NMR模拟\simulation_outputs\niu2020_berea_porosity_grouped_nmr_topaxis_down32_jitter\representative_mesh_figures\group_051_slice_0186_count_012_mesh.png,C:\Users\imgw\Documents\Codex\NMR模拟\simulation_outputs\niu2020_berea_porosity_grouped_nmr_topaxis_down32_jitter\group_runs\group_051_slice_0186\berea_group051_slice_0186_triangular_mesh.png
52,196,197,7,C:\Users\imgw\Documents\Codex\NMR模拟\simulation_outputs\niu2020_berea_porosity_grouped_nmr_topaxis_down32_jitter\representative_mesh_figures\group_052_slice_0196_count_007_mesh.png,C:\Users\imgw\Documents\Codex\NMR模拟\simulation_outputs\niu2020_berea_porosity_grouped_nmr_topaxis_down32_jitter\group_runs\group_052_slice_0196\berea_group052_slice_0196_triangular_mesh.png
53,203,204,7,C:\Users\imgw\Documents\Codex\NMR模拟\simulation_outputs\niu2020_berea_porosity_grouped_nmr_topaxis_down32_jitter\representative_mesh_figures\group_053_slice_0203_count_007_mesh.png,C:\Users\imgw\Documents\Codex\NMR模拟\simulation_outputs\niu2020_berea_porosity_grouped_nmr_topaxis_down32_jitter\group_runs\group_053_slice_0203\berea_group053_slice_0203_triangular_mesh.png
54,209,210,6,C:\Users\imgw\Documents\Codex\NMR模拟\simulation_outputs\niu2020_berea_porosity_grouped_nmr_topaxis_down32_jitter\representative_mesh_figures\group_054_slice_0209_count_006_mesh.png,C:\Users\imgw\Documents\Codex\NMR模拟\simulation_outputs\niu2020_berea_porosity_grouped_nmr_topaxis_down32_jitter\group_runs\group_054_slice_0209\berea_group054_slice_0209_triangular_mesh.png
