time_ms,average_normalized_signal,slice_0014_normalized_signal,slice_0021_normalized_signal,slice_0121_normalized_signal,slice_0193_normalized_signal,slice_0428_normalized_signal,slice_0574_normalized_signal,slice_0582_normalized_signal,slice_0616_normalized_signal,slice_0640_normalized_signal,slice_0691_normalized_signal
590.0,0.6721605171383414,0.6533115749628229,0.6549297528649978,0.6122281134475334,0.6910518344905356,0.7252880663786231,0.666264780955924,0.6714491881490304,0.6794030301005585,0.691471953442568,0.6762068765908194
595.0,0.6700481606562334,0.6510772825773176,0.6527086338064298,0.6098959241695677,0.6890604454949634,0.7234059303410124,0.6640980287214597,0.6693201703183944,0.6773342637877482,0.6894573349001641,0.6741235924452769
600.0,0.6679442653948748,0.6488520420332397,0.650496543050916,0.6075751681964967,0.6870769144932772,0.7215296529573544,0.6619398686897227,0.6671995702732935,0.6752737305212339,0.6874504074180054,0.6720487563152086
605.0,0.6658487840595668,0.6466358045989491,0.6482934314779549,0.605265769023603,0.6851011953676927,0.719659206677938,0.6597902559791764,0.6650873426303624,0.6732213840432734,0.6854511295519978,0.6699823212447203
610.0,0.663761669755728,0.6444285219379653,0.6460992503684404,0.6029676508792138,0.6831332424056773,0.7177945641897432,0.6576491460565419,0.6629834423768113,0.6711771784860189,0.6834594602024132,0.6679242406544547
615.0,0.6616828759834121,0.642230146103666,0.6439139513993057,0.6006807387141526,0.6811730102944873,0.7159356984128694,0.6555164947322026,0.660887824865398,0.669141068366268,0.6814753586090645,0.665874468336708
620.0,0.6596123566319494,0.6400406295341036,0.6417374866382843,0.5984049581914266,0.6792204541158241,0.7140825824970484,0.6533922581557112,0.6588004458095178,0.6671130085803311,0.6794987843465905,0.663832958450658
625.0,0.6575500659747072,0.6378599250469391,0.6395698085387843,0.5961402356761332,0.6772755293406023,0.7122351898182459,0.6512763928114017,0.6567212612784036,0.6650929543990114,0.677529697319852,0.6617996655176982
630.0,0.655495958663965,0.6356879858344865,0.6374108699348718,0.5938864982255924,0.675338191823832,0.7103934939753381,0.6491688555140978,0.6546502276924321,0.6630808614626947,0.6755680577594304,0.659774544416875
635.0,0.6534499897259027,0.6335247654588648,0.6352606240363609,0.5916436735796833,0.6734083977996053,0.708557468786869,0.6470696034049149,0.652587301818534,0.6610766857765434,0.6736138262172296,0.6577575503804228
640.0,0.651412114555695,0.6313702178472567,0.6331190244240065,0.5894116901513922,0.6714861038761877,0.7067270882878807,0.6449785939471584,0.6505324407657025,0.659080383705793,0.6716669635621757,0.6557486389893968
645.0,0.6493822889127107,0.629224297287265,0.6309860250447957,0.5871904770175536,0.6695712670312104,0.7049023267268173,0.6428957849223059,0.6484856019806022,0.6570919119711482,0.6697274309760112,0.6537477661693977
650.0,0.6473604689158144,0.6270869584223703,0.6288615802073391,0.5849799639097882,0.6676638446069589,0.7030831585624996,0.6408211344260795,0.646446743243268,0.6551112276442734,0.6677951899491822,0.6517548881863855
655.0,0.6453466110387647,0.6249581562474811,0.6267456445773504,0.582780081205626,0.6657637943057576,0.7012695584611658,0.6387546008645972,0.6444158226628955,0.6531382881433775,0.6658702022768138,0.6497699616425823
