component_label,voxel_count,volume_um3,is_open
297,13,5888.802815999999,False
298,1,452.9848319999999,False
299,1,452.9848319999999,False
300,3,1358.9544959999998,False
301,5,2264.9241599999996,False
302,2,905.9696639999999,False
303,1,452.9848319999999,False
304,1,452.9848319999999,False
305,6,2717.9089919999997,False
306,2,905.9696639999999,False
307,1,452.9848319999999,False
308,1,452.9848319999999,False
309,1,452.9848319999999,False
310,1,452.9848319999999,False
311,1,452.9848319999999,False
312,6,2717.9089919999997,False
313,8,3623.8786559999994,False
314,1,452.9848319999999,False
315,1,452.9848319999999,False
316,2,905.9696639999999,True
317,1,452.9848319999999,True
318,6,2717.9089919999997,False
319,1,452.9848319999999,False
320,1,452.9848319999999,False
321,1,452.9848319999999,False
322,1,452.9848319999999,False
323,2,905.9696639999999,False
324,3,1358.9544959999998,False
325,7,3170.8938239999993,False
326,1,452.9848319999999,False
327,1,452.9848319999999,False
328,1,452.9848319999999,False
329,1,452.9848319999999,True
330,4,1811.9393279999997,False
331,1,452.9848319999999,False
332,1,452.9848319999999,False
333,8,3623.8786559999994,False
334,2,905.9696639999999,False
335,2,905.9696639999999,False
336,1,452.9848319999999,False
337,2,905.9696639999999,False
338,1,452.9848319999999,False
339,1,452.9848319999999,False
340,2,905.9696639999999,False
341,1,452.9848319999999,False
342,1,452.9848319999999,False
343,1,452.9848319999999,True
344,5,2264.9241599999996,False
345,1,452.9848319999999,False
346,2,905.9696639999999,False
347,1,452.9848319999999,False
348,1,452.9848319999999,False
349,1,452.9848319999999,False
350,6,2717.9089919999997,False
351,1,452.9848319999999,False
352,11,4982.833151999999,False
353,1,452.9848319999999,False
354,3,1358.9544959999998,False
355,6,2717.9089919999997,False
356,7,3170.8938239999993,False
357,1,452.9848319999999,False
358,1,452.9848319999999,False
359,2,905.9696639999999,False
360,2,905.9696639999999,False
361,1,452.9848319999999,False
362,1,452.9848319999999,False
363,2,905.9696639999999,False
364,33,14948.499455999998,False
365,1,452.9848319999999,False
366,1,452.9848319999999,False
367,5,2264.9241599999996,False
368,2,905.9696639999999,False
369,2,905.9696639999999,False
370,1,452.9848319999999,False
371,1,452.9848319999999,False
372,2,905.9696639999999,False
373,1,452.9848319999999,False
374,2,905.9696639999999,False
375,12,5435.817983999999,False
376,2,905.9696639999999,False
377,4,1811.9393279999997,False
378,1,452.9848319999999,False
379,2,905.9696639999999,False
380,1,452.9848319999999,False
381,1,452.9848319999999,False
382,1,452.9848319999999,True
383,3,1358.9544959999998,False
384,51,23102.226431999996,False
385,1,452.9848319999999,False
386,1,452.9848319999999,False
387,1,452.9848319999999,False
388,1,452.9848319999999,False
389,1,452.9848319999999,False
390,2,905.9696639999999,False
391,6,2717.9089919999997,False
392,1,452.9848319999999,False
393,1,452.9848319999999,False
394,2,905.9696639999999,False
395,1,452.9848319999999,True
396,4,1811.9393279999997,False
397,5,2264.9241599999996,False
398,1,452.9848319999999,False
399,6,2717.9089919999997,False
400,1,452.9848319999999,False
401,2,905.9696639999999,True
402,1,452.9848319999999,False
403,13,5888.802815999999,False
404,1,452.9848319999999,False
405,2,905.9696639999999,False
406,2,905.9696639999999,False
407,1,452.9848319999999,False
408,1,452.9848319999999,False
409,1,452.9848319999999,False
410,1,452.9848319999999,False
411,13,5888.802815999999,False
412,1,452.9848319999999,False
413,1,452.9848319999999,False
414,1,452.9848319999999,False
415,1,452.9848319999999,False
416,3,1358.9544959999998,False
417,2,905.9696639999999,False
418,1,452.9848319999999,False
419,3,1358.9544959999998,False
420,1,452.9848319999999,False
421,4,1811.9393279999997,True
422,1,452.9848319999999,False
423,3,1358.9544959999998,False
424,6,2717.9089919999997,False
425,1,452.9848319999999,False
426,4,1811.9393279999997,False
427,12,5435.817983999999,False
428,2,905.9696639999999,False
429,1,452.9848319999999,False
430,2,905.9696639999999,False
431,1,452.9848319999999,False
432,1,452.9848319999999,False
433,1,452.9848319999999,False
434,1,452.9848319999999,False
435,18,8153.726975999999,False
436,1,452.9848319999999,True
437,1,452.9848319999999,True
438,1,452.9848319999999,False
439,1,452.9848319999999,False
440,11,4982.833151999999,False
441,4,1811.9393279999997,False
442,1,452.9848319999999,False
443,2,905.9696639999999,False
444,8,3623.8786559999994,False
445,1,452.9848319999999,False
446,1,452.9848319999999,False
447,4,1811.9393279999997,False
448,1,452.9848319999999,False
449,7,3170.8938239999993,False
450,8,3623.8786559999994,False
451,4,1811.9393279999997,True
452,1,452.9848319999999,False
453,1,452.9848319999999,False
454,2,905.9696639999999,True
455,1,452.9848319999999,True
456,7,3170.8938239999993,False
457,1,452.9848319999999,False
458,10,4529.848319999999,False
459,6,2717.9089919999997,False
460,5,2264.9241599999996,True
461,2,905.9696639999999,False
462,1,452.9848319999999,False
463,3,1358.9544959999998,False
464,1,452.9848319999999,False
465,1,452.9848319999999,False
466,2,905.9696639999999,True
467,1,452.9848319999999,False
468,3,1358.9544959999998,False
469,1,452.9848319999999,False
470,9,4076.8634879999995,False
471,3,1358.9544959999998,True
472,7,3170.8938239999993,False
473,2,905.9696639999999,False
474,1,452.9848319999999,True
475,1,452.9848319999999,False
476,1,452.9848319999999,False
477,6,2717.9089919999997,False
478,15,6794.772479999999,True
479,2,905.9696639999999,False
480,3,1358.9544959999998,False
481,1,452.9848319999999,False
482,2,905.9696639999999,False
483,1,452.9848319999999,True
484,3,1358.9544959999998,False
485,1,452.9848319999999,False
486,1,452.9848319999999,True
487,1,452.9848319999999,False
488,1,452.9848319999999,False
489,1,452.9848319999999,False
490,1,452.9848319999999,False
491,2,905.9696639999999,False
492,1,452.9848319999999,False
493,12,5435.817983999999,True
494,2,905.9696639999999,False
495,1,452.9848319999999,False
496,1,452.9848319999999,False
497,1,452.9848319999999,False
498,3,1358.9544959999998,False
499,3,1358.9544959999998,False
500,1,452.9848319999999,False
