slice,porosity,n_components,max_area,p50_area,p90_area,small_1_20,large_gt_1000,score
45,0.24866938775510203,89,7516,34.0,804.0000000000003,36,8,8.013908685244639
7,0.27129795918367344,64,10756,45.0,1324.2000000000003,23,8,8.004067121663134
9,0.27177142857142855,59,13549,35.0,889.4000000000003,21,5,7.992421662091704
68,0.28375510204081633,79,5222,79.0,961.6,25,6,7.914497747522904
39,0.25464489795918366,82,6565,31.0,1022.3000000000002,33,9,7.8928485816252305
86,0.2695183673469388,78,12332,70.5,689.4,21,4,7.84776160083041
55,0.25795102040816326,86,6881,38.5,763.0,30,7,7.827521939551334
14,0.2652816326530612,60,9317,47.5,1523.7000000000003,24,9,7.804471554733227
73,0.286269387755102,79,7491,56.0,1190.4000000000008,20,10,7.775644579479545
67,0.28158367346938773,85,5140,73.0,809.8000000000004,24,7,7.745044324143609
13,0.2674530612244898,54,13427,73.0,1244.3000000000004,20,7,7.7396856460925
52,0.2649061224489796,70,9528,60.0,1086.5000000000002,23,8,7.713438801886264
4,0.27154285714285714,61,7595,48.0,1721.0,23,8,7.711032201810293
35,0.25612244897959185,77,6415,31.0,1009.0000000000005,30,8,7.710366817648876
8,0.2696081632653061,55,13833,51.0,1028.2000000000005,19,6,7.701077208611368
43,0.2572816326530612,83,6627,46.0,936.0,28,8,7.623005877627763
40,0.25321632653061227,83,7580,58.0,943.1999999999994,28,8,7.617102086322945
77,0.27131428571428573,94,5203,54.0,819.6000000000004,25,8,7.564276955616567
11,0.2746530612244898,52,13151,40.0,1307.9999999999995,17,7,7.52912946650113
26,0.2562857142857143,79,10124,58.0,898.6000000000003,23,7,7.511846265972117
17,0.26195102040816326,67,7204,31.0,1752.5999999999997,24,10,7.48964141905204
127,0.2336408163265306,97,7137,39.0,787.0000000000002,36,7,7.48593426418639
80,0.24760816326530613,96,4931,50.0,681.5,34,7,7.4859132745675785
109,0.25201632653061223,99,5223,54.0,654.6000000000001,31,5,7.4773823145775795
32,0.26,76,6099,56.5,698.5,26,7,7.468931419622305
42,0.25917551020408164,74,6237,48.0,1020.9000000000002,26,8,7.464355764169472
122,0.24503673469387754,102,4268,45.0,1008.4000000000015,37,11,7.450849970514413
82,0.2500734693877551,87,6804,55.0,650.8000000000003,28,7,7.4316273735351155
31,0.2598285714285714,77,5854,59.0,1065.0,26,9,7.42890258138155
57,0.2685061224489796,89,4803,52.0,607.2000000000002,25,8,7.416018167255075
34,0.2569469387755102,79,6354,47.0,845.0000000000008,26,8,7.415908543744677
129,0.24904489795918366,89,7594,50.0,967.6000000000005,27,9,7.41507899755804
47,0.24706122448979592,77,7940,55.0,803.6000000000008,27,7,7.392692381155274
114,0.2567755102040816,104,4213,55.5,724.1000000000001,30,5,7.359348590871051
15,0.2599020408163265,66,8129,57.0,1493.0,22,10,7.336994555427945
25,0.2545795918367347,73,9435,70.0,1302.3999999999996,22,9,7.305656375077205
24,0.24629387755102042,85,5189,42.0,1227.8000000000018,31,10,7.302022259353032
111,0.2547510204081633,94,3536,49.0,717.1000000000001,32,7,7.278257753466167
50,0.24773061224489795,87,8039,59.0,652.0000000000005,25,6,7.257864013339276
128,0.2456734693877551,87,7595,50.0,994.6000000000013,26,9,7.234971932656508
116,0.24907755102040816,99,3756,62.0,845.2,33,7,7.229924145969713
130,0.24097142857142856,88,7320,41.5,836.5999999999999,28,7,7.220441230338875
53,0.2628,80,4994,59.0,1065.700000000002,24,9,7.204022548008844
18,0.2576,64,9707,49.5,1142.7000000000005,20,8,7.200142590201333
54,0.25435102040816326,83,4114,53.0,770.3999999999999,29,8,7.199686707489275
19,0.2505469387755102,67,9236,44.0,1068.9999999999998,22,7,7.173186733181829
119,0.23746122448979592,105,3512,37.0,846.8000000000008,39,8,7.151582717503718
117,0.23335510204081633,108,3806,41.5,623.9,40,6,7.144610807438604
