group_id,start_index,end_index,representative_index,slice_count,porosity_min,porosity_max,porosity_mean,used_representative_index,used_representative_1_based,weight_slice_count,attempted_representatives,reused_existing_run,group_output_dir,decay_csv,mesh_png
20,67,74,70,8,0.27736326530612243,0.286269387755102,0.282915306122449,70,71,8,70,True,C:\Users\imgw\Documents\Codex\NMR模拟\simulation_outputs\niu2020_berea_porosity_grouped_nmr_mesh96_alpha0p1_quality0\group_runs\group_020_slice_0070,C:\Users\imgw\Documents\Codex\NMR模拟\simulation_outputs\niu2020_berea_porosity_grouped_nmr_mesh96_alpha0p1_quality0\group_runs\group_020_slice_0070\average_normalized_decay.csv,C:\Users\imgw\Documents\Codex\NMR模拟\simulation_outputs\niu2020_berea_porosity_grouped_nmr_mesh96_alpha0p1_quality0\representative_mesh_figures\group_020_slice_0070_count_008_mesh.png
21,75,76,75,2,0.27940408163265307,0.28868571428571427,0.28404489795918364,75,76,2,75,True,C:\Users\imgw\Documents\Codex\NMR模拟\simulation_outputs\niu2020_berea_porosity_grouped_nmr_mesh96_alpha0p1_quality0\group_runs\group_021_slice_0075,C:\Users\imgw\Documents\Codex\NMR模拟\simulation_outputs\niu2020_berea_porosity_grouped_nmr_mesh96_alpha0p1_quality0\group_runs\group_021_slice_0075\average_normalized_decay.csv,C:\Users\imgw\Documents\Codex\NMR模拟\simulation_outputs\niu2020_berea_porosity_grouped_nmr_mesh96_alpha0p1_quality0\representative_mesh_figures\group_021_slice_0075_count_002_mesh.png
22,77,78,77,2,0.27131428571428573,0.2729551020408163,0.272134693877551,77,78,2,77,True,C:\Users\imgw\Documents\Codex\NMR模拟\simulation_outputs\niu2020_berea_porosity_grouped_nmr_mesh96_alpha0p1_quality0\group_runs\group_022_slice_0077,C:\Users\imgw\Documents\Codex\NMR模拟\simulation_outputs\niu2020_berea_porosity_grouped_nmr_mesh96_alpha0p1_quality0\group_runs\group_022_slice_0077\average_normalized_decay.csv,C:\Users\imgw\Documents\Codex\NMR模拟\simulation_outputs\niu2020_berea_porosity_grouped_nmr_mesh96_alpha0p1_quality0\representative_mesh_figures\group_022_slice_0077_count_002_mesh.png
23,79,79,79,1,0.2618367346938775,0.2618367346938775,0.2618367346938775,79,80,1,79,True,C:\Users\imgw\Documents\Codex\NMR模拟\simulation_outputs\niu2020_berea_porosity_grouped_nmr_mesh96_alpha0p1_quality0\group_runs\group_023_slice_0079,C:\Users\imgw\Documents\Codex\NMR模拟\simulation_outputs\niu2020_berea_porosity_grouped_nmr_mesh96_alpha0p1_quality0\group_runs\group_023_slice_0079\average_normalized_decay.csv,C:\Users\imgw\Documents\Codex\NMR模拟\simulation_outputs\niu2020_berea_porosity_grouped_nmr_mesh96_alpha0p1_quality0\representative_mesh_figures\group_023_slice_0079_count_001_mesh.png
24,80,83,81,4,0.24760816326530613,0.2529387755102041,0.2500244897959184,81,82,4,81,True,C:\Users\imgw\Documents\Codex\NMR模拟\simulation_outputs\niu2020_berea_porosity_grouped_nmr_mesh96_alpha0p1_quality0\group_runs\group_024_slice_0081,C:\Users\imgw\Documents\Codex\NMR模拟\simulation_outputs\niu2020_berea_porosity_grouped_nmr_mesh96_alpha0p1_quality0\group_runs\group_024_slice_0081\average_normalized_decay.csv,C:\Users\imgw\Documents\Codex\NMR模拟\simulation_outputs\niu2020_berea_porosity_grouped_nmr_mesh96_alpha0p1_quality0\representative_mesh_figures\group_024_slice_0081_count_004_mesh.png
25,84,85,84,2,0.25870204081632653,0.26692244897959183,0.2628122448979592,84,85,2,84,True,C:\Users\imgw\Documents\Codex\NMR模拟\simulation_outputs\niu2020_berea_porosity_grouped_nmr_mesh96_alpha0p1_quality0\group_runs\group_025_slice_0084,C:\Users\imgw\Documents\Codex\NMR模拟\simulation_outputs\niu2020_berea_porosity_grouped_nmr_mesh96_alpha0p1_quality0\group_runs\group_025_slice_0084\average_normalized_decay.csv,C:\Users\imgw\Documents\Codex\NMR模拟\simulation_outputs\niu2020_berea_porosity_grouped_nmr_mesh96_alpha0p1_quality0\representative_mesh_figures\group_025_slice_0084_count_002_mesh.png
26,86,86,86,1,0.2695183673469388,0.2695183673469388,0.2695183673469388,86,87,1,86,True,C:\Users\imgw\Documents\Codex\NMR模拟\simulation_outputs\niu2020_berea_porosity_grouped_nmr_mesh96_alpha0p1_quality0\group_runs\group_026_slice_0086,C:\Users\imgw\Documents\Codex\NMR模拟\simulation_outputs\niu2020_berea_porosity_grouped_nmr_mesh96_alpha0p1_quality0\group_runs\group_026_slice_0086\average_normalized_decay.csv,C:\Users\imgw\Documents\Codex\NMR模拟\simulation_outputs\niu2020_berea_porosity_grouped_nmr_mesh96_alpha0p1_quality0\representative_mesh_figures\group_026_slice_0086_count_001_mesh.png
27,87,89,88,3,0.2805061224489796,0.28877551020408165,0.28568163265306123,88,89,3,88,True,C:\Users\imgw\Documents\Codex\NMR模拟\simulation_outputs\niu2020_berea_porosity_grouped_nmr_mesh96_alpha0p1_quality0\group_runs\group_027_slice_0088,C:\Users\imgw\Documents\Codex\NMR模拟\simulation_outputs\niu2020_berea_porosity_grouped_nmr_mesh96_alpha0p1_quality0\group_runs\group_027_slice_0088\average_normalized_decay.csv,C:\Users\imgw\Documents\Codex\NMR模拟\simulation_outputs\niu2020_berea_porosity_grouped_nmr_mesh96_alpha0p1_quality0\representative_mesh_figures\group_027_slice_0088_count_003_mesh.png
28,90,93,91,4,0.2855673469387755,0.29377142857142857,0.29101632653061227,91,92,4,91,True,C:\Users\imgw\Documents\Codex\NMR模拟\simulation_outputs\niu2020_berea_porosity_grouped_nmr_mesh96_alpha0p1_quality0\group_runs\group_028_slice_0091,C:\Users\imgw\Documents\Codex\NMR模拟\simulation_outputs\niu2020_berea_porosity_grouped_nmr_mesh96_alpha0p1_quality0\group_runs\group_028_slice_0091\average_normalized_decay.csv,C:\Users\imgw\Documents\Codex\NMR模拟\simulation_outputs\niu2020_berea_porosity_grouped_nmr_mesh96_alpha0p1_quality0\representative_mesh_figures\group_028_slice_0091_count_004_mesh.png
29,94,97,95,4,0.28224489795918367,0.2900244897959184,0.28606530612244896,95,96,4,95,True,C:\Users\imgw\Documents\Codex\NMR模拟\simulation_outputs\niu2020_berea_porosity_grouped_nmr_mesh96_alpha0p1_quality0\group_runs\group_029_slice_0095,C:\Users\imgw\Documents\Codex\NMR模拟\simulation_outputs\niu2020_berea_porosity_grouped_nmr_mesh96_alpha0p1_quality0\group_runs\group_029_slice_0095\average_normalized_decay.csv,C:\Users\imgw\Documents\Codex\NMR模拟\simulation_outputs\niu2020_berea_porosity_grouped_nmr_mesh96_alpha0p1_quality0\representative_mesh_figures\group_029_slice_0095_count_004_mesh.png
30,98,99,98,2,0.2708163265306123,0.2794530612244898,0.2751346938775511,98,99,2,98,True,C:\Users\imgw\Documents\Codex\NMR模拟\simulation_outputs\niu2020_berea_porosity_grouped_nmr_mesh96_alpha0p1_quality0\group_runs\group_030_slice_0098,C:\Users\imgw\Documents\Codex\NMR模拟\simulation_outputs\niu2020_berea_porosity_grouped_nmr_mesh96_alpha0p1_quality0\group_runs\group_030_slice_0098\average_normalized_decay.csv,C:\Users\imgw\Documents\Codex\NMR模拟\simulation_outputs\niu2020_berea_porosity_grouped_nmr_mesh96_alpha0p1_quality0\representative_mesh_figures\group_030_slice_0098_count_002_mesh.png
31,100,101,100,2,0.2659183673469388,0.2671265306122449,0.2665224489795919,100,101,2,100,True,C:\Users\imgw\Documents\Codex\NMR模拟\simulation_outputs\niu2020_berea_porosity_grouped_nmr_mesh96_alpha0p1_quality0\group_runs\group_031_slice_0100,C:\Users\imgw\Documents\Codex\NMR模拟\simulation_outputs\niu2020_berea_porosity_grouped_nmr_mesh96_alpha0p1_quality0\group_runs\group_031_slice_0100\average_normalized_decay.csv,C:\Users\imgw\Documents\Codex\NMR模拟\simulation_outputs\niu2020_berea_porosity_grouped_nmr_mesh96_alpha0p1_quality0\representative_mesh_figures\group_031_slice_0100_count_002_mesh.png
32,102,104,103,3,0.2502122448979592,0.258065306122449,0.25367891156462585,103,104,3,103,True,C:\Users\imgw\Documents\Codex\NMR模拟\simulation_outputs\niu2020_berea_porosity_grouped_nmr_mesh96_alpha0p1_quality0\group_runs\group_032_slice_0103,C:\Users\imgw\Documents\Codex\NMR模拟\simulation_outputs\niu2020_berea_porosity_grouped_nmr_mesh96_alpha0p1_quality0\group_runs\group_032_slice_0103\average_normalized_decay.csv,C:\Users\imgw\Documents\Codex\NMR模拟\simulation_outputs\niu2020_berea_porosity_grouped_nmr_mesh96_alpha0p1_quality0\representative_mesh_figures\group_032_slice_0103_count_003_mesh.png
33,105,108,106,4,0.25674285714285716,0.26376326530612243,0.26108571428571425,106,107,4,106,True,C:\Users\imgw\Documents\Codex\NMR模拟\simulation_outputs\niu2020_berea_porosity_grouped_nmr_mesh96_alpha0p1_quality0\group_runs\group_033_slice_0106,C:\Users\imgw\Documents\Codex\NMR模拟\simulation_outputs\niu2020_berea_porosity_grouped_nmr_mesh96_alpha0p1_quality0\group_runs\group_033_slice_0106\average_normalized_decay.csv,C:\Users\imgw\Documents\Codex\NMR模拟\simulation_outputs\niu2020_berea_porosity_grouped_nmr_mesh96_alpha0p1_quality0\representative_mesh_figures\group_033_slice_0106_count_004_mesh.png
34,109,116,112,8,0.24681632653061225,0.2567755102040816,0.25174693877551024,112,113,8,112,True,C:\Users\imgw\Documents\Codex\NMR模拟\simulation_outputs\niu2020_berea_porosity_grouped_nmr_mesh96_alpha0p1_quality0\group_runs\group_034_slice_0112,C:\Users\imgw\Documents\Codex\NMR模拟\simulation_outputs\niu2020_berea_porosity_grouped_nmr_mesh96_alpha0p1_quality0\group_runs\group_034_slice_0112\average_normalized_decay.csv,C:\Users\imgw\Documents\Codex\NMR模拟\simulation_outputs\niu2020_berea_porosity_grouped_nmr_mesh96_alpha0p1_quality0\representative_mesh_figures\group_034_slice_0112_count_008_mesh.png
35,117,120,118,4,0.23335510204081633,0.24114285714285713,0.23703061224489794,118,119,4,118,True,C:\Users\imgw\Documents\Codex\NMR模拟\simulation_outputs\niu2020_berea_porosity_grouped_nmr_mesh96_alpha0p1_quality0\group_runs\group_035_slice_0118,C:\Users\imgw\Documents\Codex\NMR模拟\simulation_outputs\niu2020_berea_porosity_grouped_nmr_mesh96_alpha0p1_quality0\group_runs\group_035_slice_0118\average_normalized_decay.csv,C:\Users\imgw\Documents\Codex\NMR模拟\simulation_outputs\niu2020_berea_porosity_grouped_nmr_mesh96_alpha0p1_quality0\representative_mesh_figures\group_035_slice_0118_count_004_mesh.png
36,121,122,121,2,0.24503673469387754,0.24674285714285715,0.24588979591836735,121,122,2,121,True,C:\Users\imgw\Documents\Codex\NMR模拟\simulation_outputs\niu2020_berea_porosity_grouped_nmr_mesh96_alpha0p1_quality0\group_runs\group_036_slice_0121,C:\Users\imgw\Documents\Codex\NMR模拟\simulation_outputs\niu2020_berea_porosity_grouped_nmr_mesh96_alpha0p1_quality0\group_runs\group_036_slice_0121\average_normalized_decay.csv,C:\Users\imgw\Documents\Codex\NMR模拟\simulation_outputs\niu2020_berea_porosity_grouped_nmr_mesh96_alpha0p1_quality0\representative_mesh_figures\group_036_slice_0121_count_002_mesh.png
