time_ms,uncoupled_signal_normalized,coupled_signal_normalized
294.0,0.5300144363685267,0.5191741478209213
296.0,0.5277681464847898,0.5168305711653681
298.0,0.5255317703761765,0.5144975005026412
300.0,0.5233052607892047,0.512174891008076
302.0,0.5210885707255091,0.5098626979770441
304.0,0.518881653440228,0.5075608768269722
306.0,0.5166844624404018,0.5052693830992789
308.0,0.5144969514833823,0.502988172461224
310.0,0.512319074575255,0.5007172007076695
312.0,0.5101507859692719,0.4984564237627697
314.0,0.5079920401642964,0.49620579768157413
316.0,0.5058427919032589,0.4939652786515613
318.0,0.503702996171625,0.4917348229940947
320.0,0.5015726081958737,0.4895143871658135
322.0,0.49945158344198587,0.48730392775995013
324.0,0.4973398776139473,0.4851034015075853
326.0,0.49523744665225694,0.4829127652788376
328.0,0.4931442467324532,0.48073197608399104
330.0,0.4910602342636441,0.4785609910745653
332.0,0.4889853658870524,0.4763997675443243
334.0,0.48691959847457,0.47424826293023103
336.0,0.4848628891273218,0.47210643481335285
338.0,0.4828151951742422,0.46997424091970347
340.0,0.4807764741706608,0.4678516391210467
342.0,0.47874668389689606,0.46573858743564367
344.0,0.47672578235686447,0.4636350440289555
346.0,0.4747137277766942,0.46154096721430005
348.0,0.4727104786033521,0.4594563154534641
350.0,0.470715993503279,0.4573810473572749
352.0,0.46873023136103703,0.45531512168612776
354.0,0.4667531512779634,0.4532584973504754
356.0,0.46478471257083614,0.45121113341127983
358.0,0.4628248747705487,0.449172989080425
360.0,0.46087359762079533,0.4471440237210934
362.0,0.4589308410767637,0.44512419684811294
364.0,0.45699656530383787,0.44311346812826247
366.0,0.4550707306763119,0.44111179738055106
368.0,0.4531532977761097,0.4391191445764639
370.0,0.4512442273915173,0.43713546984017787
372.0,0.44934348051592193,0.435160733448749
374.0,0.44745101834656026,0.4331948958322714
376.0,0.44556680228327755,0.4312379175740073
378.0,0.4436907939272929,0.4292897594104942
380.0,0.4418229550799754,0.4273503822316238
382.0,0.43996324774162715,0.4254197470806989
384.0,0.438111634110277,0.4234978151544652
386.0,0.436268076580481,0.4215845478031193
388.0,0.4344325377421329,0.41967990653029924
390.0,0.43260498037928147,0.4177838529930487
392.0,0.4307853674689574,0.4158963490017641
394.0,0.4289736621800084,0.41401735652012145
396.0,0.42716982787194135,0.41214683766498317
398.0,0.42537382809377494,0.41028475470628745
400.0,0.4235856265828978,0.4084310700669204
402.0,0.4218051872639361,0.4065857463225715
404.0,0.420032474247629,0.4047487462015702
406.0,0.418267451829712,0.4029200325847117
408.0,0.41651008448980775,0.4010995685050616
410.0,0.4147603368903253,0.39928731714775095
412.0,0.41301817387536566,0.397483241849754
414.0,0.4112835604696376,0.3956873060996553
416.0,0.40955646187737804,0.39389947353740057
418.0,0.4078368434812825,0.3921197079540391
420.0,0.4061246708414414,0.3903479732914487
422.0,0.40441990969428426,0.3885842336420547
424.0,0.4027225259515321,0.38682845324853526
426.0,0.40103248569915434,0.38508059650351445
428.0,0.39934975519633786,0.3833406279492486
430.0,0.3976743008744587,0.38160851227730025
432.0,0.39600608933606257,0.3798842143282037
434.0,0.39434508735385243,0.37816769909112047
