t2_ms,png_spectrum,png_spectrum_normalized,comsol_spectrum,comsol_spectrum_normalized,extra_comsol_spectrum,extra_comsol_spectrum_normalized
2.899422853882877,0.0,0.0,96.08163445539542,0.02988720050029413,89.37316818831619,0.027590371841128388
3.036771118035458,0.0,0.0,64.51645893444406,0.0200685214679385,58.60063167984052,0.018090588606695216
3.180625692794119,0.0,0.0,39.346271004089104,0.01223907042280842,34.55775571118328,0.010668317453594218
3.3312947879346737,0.0,0.0,20.813864933892603,0.006474371069885121,17.37315325666793,0.005363262465915829
3.489101213406773,0.0,0.0,8.691311291161856,0.0027035235676596886,6.654871175352677,0.002054423872452482
3.6543830709572562,0.0,0.0,2.2118406980889365,0.0006880162561054606,1.4162697692794308,0.000437216340808616
3.827494478516312,0.0,0.0,0.0,0.0,0.0,0.0
4.008806328898466,0.0,0.0,0.0,0.0,0.0,0.0
4.19870708444391,0.0,0.0,0.0,0.0,0.0,0.0
4.39760360930272,0.0,0.0,0.0,0.0,0.0,0.0
4.605922041145106,0.0,0.0,0.0,0.0,0.0,0.0
4.82410870416537,0.0,0.0,0.0,0.0,0.0,0.0
5.052631065335681,0.0,0.0,0.0,0.0,0.0,0.0
5.291978735958442,0.0,0.0,0.0,0.0,0.0,0.0
5.542664520663106,0.0,0.0,0.0,0.0,0.0,0.0
5.8052255160948985,0.0,0.0,0.0,0.0,0.0,0.0
6.080224261649424,0.0,0.0,0.0,0.0,0.0,0.0
6.368249944718588,0.0,0.0,0.0,0.0,0.0,0.0
6.669919663030122,0.0,0.0,0.0,0.0,0.0,0.0
6.985879746785248,0.0,0.0,0.0,0.0,0.0,0.0
7.316807143427196,0.0,0.0,0.0,0.0,0.0,0.0
7.663410868007459,0.0,0.0,0.0,0.0,0.0,0.0
8.026433522257175,0.0,0.0,0.0,0.0,0.0,0.0
8.406652885618325,0.0,0.0,0.0,0.0,0.0,0.0
8.804883581643463,0.0,0.0,0.0,0.0,0.0,0.0
9.221978823334327,0.0,0.0,0.0,0.0,0.0,0.0
9.658832241158704,0.0,0.0,0.0,0.0,0.0,0.0
10.11637979766207,0.0,0.0,0.0,0.0,0.0,0.0
10.59560179277616,0.0,0.0,0.0,0.0,0.0,0.0
11.097524964120721,0.0,0.0,0.0,0.0,0.0,0.0
11.623224686798524,0.0,0.0,0.0,0.0,0.0,0.0
12.173827277396613,0.0,0.0,0.0,0.0,0.0,0.0
12.750512407130135,0.0,0.0,0.0,0.0,0.0,0.0
13.354515629298987,0.0,0.0,0.0,0.0,0.0,0.0
13.987131026472387,0.0,0.0,0.0,0.0,0.0,0.0
14.649713983072855,0.0,0.0,0.0,0.0,0.0,0.0
15.343684089300124,0.0,0.0,0.0,0.0,0.0,0.0
16.070528182616393,0.0,0.0,0.0,0.0,0.0,0.0
16.831803533309568,0.0,0.0,0.0,0.0,0.0,0.0
17.62914118095948,0.0,0.0,0.0,0.0,0.0,0.0
18.464249428955434,0.0,0.0,0.0,0.0,0.0,0.0
19.33891750455231,0.0,0.0,0.0,0.0,0.0,0.0
20.255019392306675,0.0,0.0,0.0,0.0,0.0,0.0
21.2145178491063,0.0,0.0,0.0,0.0,0.0,0.0
22.21946860939524,0.0,0.0,0.0,0.0,0.0,0.0
23.272024789604085,0.0,0.0,0.0,0.0,0.0,0.0
24.374441501222204,0.0,0.0,0.0,0.0,0.0,0.0
25.52908068239518,0.0,0.0,0.0,0.0,0.0,0.0
26.738416158399467,0.0,0.0,0.0,0.0,0.0,0.0
28.00503894183631,0.0,0.0,0.0,0.0,0.0,0.0
29.331662783900438,0.0,0.0,0.0,0.0,0.0,0.0
30.721129988617577,0.0,0.0,0.0,0.0,0.0,0.0
32.17641750250737,0.0,0.0,0.0,0.0,0.0,0.0
33.700643292719285,0.730774900727851,0.0003559851621251157,0.0,0.0,0.0,0.0
35.2970730273065,4.315706726915432,0.0021023266635666633,0.0,0.0,0.0,0.0
36.96912707195028,12.538424579390286,0.006107890545012085,0.0,0.0,0.0,0.0
38.72038781812555,26.854669650992392,0.013081817561062012,0.0,0.0,0.0,0.0
40.5546073584083,48.405503692556636,0.023579957470597258,0.0,0.0,0.0,0.0
42.47571552536898,78.03183041115585,0.038011942900841034,0.0,0.0,0.0,0.0
44.487828311275855,116.29018577659141,0.056648881339531186,0.0,0.0,0.0,0.0
