time_ms,extra_comsol_signal,extra_comsol_normalized
698.1364990984828,5974.07687884786,0.06769246825422259
701.6271990984818,5917.05957802395,0.06704640327979455
705.1178990984828,5860.76697357764,0.06640854986466337
708.6085990984827,5805.18757851445,0.065778777849304
712.0992990984819,5750.3101105635,0.06515695939392144
715.5899990984827,5696.12348832134,0.06454296893475642
719.0806990984827,5642.61682747112,0.06393668314124458
722.5713990984818,5589.77943707492,0.06333798087400483
726.0620990984828,5537.6008159384,0.06274674314364705
729.5527990984818,5486.07064904555,0.062162853070374044
733.0434990984828,5435.17880406319,0.061586195844374025
736.5341990984828,5384.91532791274,0.06101665868697518
740.0248990984818,5335.27044340866,0.06045413081255567
743.5155990984828,5286.23454596206,0.059898503391192216
747.0062990984827,5237.79820034799,0.059349669512030065
750.4969990984818,5189.95213753522,0.058807524147361165
753.9876990984827,5142.68725157761,0.058271964117400196
757.4783990984819,5095.99459656524,0.057742888055737615
760.9690990984827,5049.86538363467,0.05722019637546298
764.4597990984828,5004.2909780368,0.0567037912359406
767.9504990984818,4959.26289626141,0.056193576510227695
771.4411990984828,4914.77280321706,0.05568945775311975
774.9318990984818,4870.81250946542,0.05519134216981258
778.4225990984818,4827.37396850889,0.05469913858516827
781.9132990984828,4784.44927413049,0.05421275741357336
785.4039990984818,4742.03065778485,0.05373211062937612
788.8946990984828,4700.11048603949,0.05325711173789356
792.3853990984827,4658.68125806532,0.0527876757469762
795.8760990984819,4617.73560317521,0.052323719139117535
799.3667990984827,4577.26627841006,0.05186515984410173
802.8574990984819,4537.26616617115,0.05141191721217564
806.3481990984828,4497.72827189774,0.05096391198773371
809.8388990984828,4458.64572178952,0.05052106628351087
813.3295990984818,4420.01176057253,0.05008330355526819
816.8202990984828,4381.81974930792,0.0496505485769638
820.3109990984827,4344.06316324269,0.04922272741639962
823.8016990984818,4306.73558970162,0.048799767411334634
827.2923990984827,4269.83072601943,0.04838159714605428
830.7830990984818,4233.3423775126,0.04796814642838894
834.2737990984828,4197.26445548986,0.047559346267170774
837.7644990984827,4161.59097530076,0.047155128850122074
841.2551990984819,4126.31605442141,0.04675542752216458
844.7458990984828,4091.43391057692,0.04636017676414492
848.2365990984819,4056.93885989949,0.04596931217196377
851.7272990984818,4022.82531512168,0.04558277043610377
855.2179990984828,3989.0877838041,0.04520048932154745
858.7086990984818,3955.72086659696,0.04482240764807873
862.1993990984828,3922.71925553454,0.04444846527095754
865.6900990984827,3890.07773236225,0.0440786030619637
869.1807990984818,3857.79116689545,0.043712762890800595
872.6714990984827,3825.85451540946,0.04335088760685238
876.1621990984818,3794.26281906025,0.042992921021288724
879.6528990984818,3763.011202335,0.042638807889508086
883.1435990984827,3732.09487153215,0.042288493893915084
886.6342990984818,3701.50911327028,0.041941925627024576
890.1249990984828,3671.2492930252,0.041599050574885374
893.6156990984828,3641.31085369489,0.04125981710081953
897.1063990984818,3611.68931419153,0.040924174429468586
900.5970990984828,3582.38026806021,0.040592072631142125
904.0877990984818,3553.37938212378,0.04026346260646251
