slice_index_0_based,slice_index_1_based,pore_px,solid_px,total_px,porosity
448,449,158133,481867,640000,0.2470828125
449,450,158700,481300,640000,0.24796875
450,451,159078,480922,640000,0.248559375
451,452,159495,480505,640000,0.2492109375
452,453,160051,479949,640000,0.2500796875
453,454,160840,479160,640000,0.2513125
454,455,161693,478307,640000,0.2526453125
455,456,162649,477351,640000,0.2541390625
456,457,162920,477080,640000,0.2545625
457,458,162899,477101,640000,0.2545296875
458,459,162971,477029,640000,0.2546421875
459,460,163434,476566,640000,0.255365625
460,461,163713,476287,640000,0.2558015625
461,462,163895,476105,640000,0.2560859375
462,463,163965,476035,640000,0.2561953125
463,464,163792,476208,640000,0.255925
464,465,163228,476772,640000,0.25504375
465,466,162675,477325,640000,0.2541796875
466,467,162457,477543,640000,0.2538390625
467,468,161845,478155,640000,0.2528828125
468,469,161547,478453,640000,0.2524171875
469,470,161762,478238,640000,0.252753125
470,471,161564,478436,640000,0.25244375
471,472,161088,478912,640000,0.2517
472,473,160678,479322,640000,0.251059375
473,474,160467,479533,640000,0.2507296875
474,475,160007,479993,640000,0.2500109375
475,476,159857,480143,640000,0.2497765625
476,477,159936,480064,640000,0.2499
477,478,159652,480348,640000,0.24945625
478,479,159581,480419,640000,0.2493453125
479,480,159343,480657,640000,0.2489734375
480,481,158868,481132,640000,0.24823125
481,482,158657,481343,640000,0.2479015625
482,483,158561,481439,640000,0.2477515625
483,484,158292,481708,640000,0.24733125
484,485,157532,482468,640000,0.24614375
485,486,156703,483297,640000,0.2448484375
486,487,156088,483912,640000,0.2438875
487,488,155446,484554,640000,0.242884375
488,489,154922,485078,640000,0.242065625
489,490,153991,486009,640000,0.2406109375
490,491,153436,486564,640000,0.23974375
491,492,153125,486875,640000,0.2392578125
492,493,152644,487356,640000,0.23850625
493,494,152489,487511,640000,0.2382640625
494,495,152477,487523,640000,0.2382453125
495,496,152700,487300,640000,0.23859375
496,497,152744,487256,640000,0.2386625
497,498,153041,486959,640000,0.2391265625
498,499,153531,486469,640000,0.2398921875
499,500,153798,486202,640000,0.240309375
500,501,153541,486459,640000,0.2399078125
501,502,153233,486767,640000,0.2394265625
502,503,153437,486563,640000,0.2397453125
503,504,154071,485929,640000,0.2407359375
504,505,154931,485069,640000,0.2420796875
505,506,155417,484583,640000,0.2428390625
506,507,155796,484204,640000,0.24343125
507,508,155889,484111,640000,0.2435765625
508,509,156104,483896,640000,0.2439125
509,510,156193,483807,640000,0.2440515625
510,511,156410,483590,640000,0.244390625
511,512,156731,483269,640000,0.2448921875
512,513,157161,482839,640000,0.2455640625
513,514,157854,482146,640000,0.246646875
514,515,157876,482124,640000,0.24668125
515,516,157724,482276,640000,0.24644375
516,517,157785,482215,640000,0.2465390625
517,518,157926,482074,640000,0.246759375
518,519,158556,481444,640000,0.24774375
519,520,159482,480518,640000,0.249190625
520,521,160236,479764,640000,0.25036875
521,522,159951,480049,640000,0.2499234375
522,523,159877,480123,640000,0.2498078125
523,524,159506,480494,640000,0.249228125
524,525,159140,480860,640000,0.24865625
525,526,158858,481142,640000,0.248215625
526,527,158885,481115,640000,0.2482578125
527,528,159210,480790,640000,0.248765625
528,529,159457,480543,640000,0.2491515625
529,530,159694,480306,640000,0.249521875
530,531,159872,480128,640000,0.2498
531,532,160448,479552,640000,0.2507
532,533,161400,478600,640000,0.2521875
533,534,162919,477081,640000,0.2545609375
534,535,164491,475509,640000,0.2570171875
535,536,165787,474213,640000,0.2590421875
536,537,166495,473505,640000,0.2601484375
537,538,167077,472923,640000,0.2610578125
538,539,167473,472527,640000,0.2616765625
539,540,167620,472380,640000,0.26190625
540,541,167487,472513,640000,0.2616984375
541,542,167475,472525,640000,0.2616796875
542,543,167473,472527,640000,0.2616765625
543,544,167389,472611,640000,0.2615453125
544,545,167313,472687,640000,0.2614265625
545,546,167066,472934,640000,0.261040625
546,547,167299,472701,640000,0.2614046875
547,548,167607,472393,640000,0.2618859375
548,549,167818,472182,640000,0.262215625
549,550,168178,471822,640000,0.262778125
550,551,168084,471916,640000,0.26263125
551,552,167450,472550,640000,0.261640625
552,553,166611,473389,640000,0.2603296875
553,554,166071,473929,640000,0.2594859375
554,555,165750,474250,640000,0.258984375
555,556,165822,474178,640000,0.259096875
556,557,166103,473897,640000,0.2595359375
557,558,166099,473901,640000,0.2595296875
558,559,165665,474335,640000,0.2588515625
559,560,165274,474726,640000,0.258240625
560,561,165297,474703,640000,0.2582765625
561,562,165593,474407,640000,0.2587390625
562,563,165761,474239,640000,0.2590015625
563,564,165982,474018,640000,0.259346875
564,565,165661,474339,640000,0.2588453125
565,566,165248,474752,640000,0.2582
566,567,164697,475303,640000,0.2573390625
567,568,164598,475402,640000,0.257184375
568,569,164664,475336,640000,0.2572875
569,570,164321,475679,640000,0.2567515625
570,571,164175,475825,640000,0.2565234375
571,572,164070,475930,640000,0.256359375
572,573,163714,476286,640000,0.255803125
573,574,162891,477109,640000,0.2545171875
574,575,162275,477725,640000,0.2535546875
575,576,161829,478171,640000,0.2528578125
576,577,161189,478811,640000,0.2518578125
577,578,160682,479318,640000,0.251065625
578,579,160907,479093,640000,0.2514171875
579,580,161518,478482,640000,0.252371875
580,581,162294,477706,640000,0.253584375
581,582,163012,476988,640000,0.25470625
582,583,163169,476831,640000,0.2549515625
583,584,162526,477474,640000,0.253946875
584,585,162236,477764,640000,0.25349375
585,586,162802,477198,640000,0.254378125
586,587,163850,476150,640000,0.256015625
587,588,164552,475448,640000,0.2571125
588,589,165173,474827,640000,0.2580828125
589,590,165508,474492,640000,0.25860625
590,591,166330,473670,640000,0.259890625
591,592,166985,473015,640000,0.2609140625
592,593,167242,472758,640000,0.261315625
593,594,167419,472581,640000,0.2615921875
594,595,167215,472785,640000,0.2612734375
595,596,166138,473862,640000,0.259590625
596,597,165551,474449,640000,0.2586734375
597,598,165496,474504,640000,0.2585875
598,599,165944,474056,640000,0.2592875
599,600,166650,473350,640000,0.260390625
600,601,167031,472969,640000,0.2609859375
601,602,167345,472655,640000,0.2614765625
602,603,167725,472275,640000,0.2620703125
603,604,167536,472464,640000,0.261775
604,605,167136,472864,640000,0.26115
605,606,166729,473271,640000,0.2605140625
606,607,166357,473643,640000,0.2599328125
607,608,166039,473961,640000,0.2594359375
608,609,165899,474101,640000,0.2592171875
609,610,165920,474080,640000,0.25925
610,611,166045,473955,640000,0.2594453125
611,612,166111,473889,640000,0.2595484375
612,613,166232,473768,640000,0.2597375
613,614,166686,473314,640000,0.260446875
614,615,167595,472405,640000,0.2618671875
615,616,168982,471018,640000,0.264034375
616,617,170120,469880,640000,0.2658125
617,618,171034,468966,640000,0.267240625
618,619,172058,467942,640000,0.268840625
619,620,173174,466826,640000,0.270584375
620,621,173913,466087,640000,0.2717390625
621,622,174908,465092,640000,0.27329375
622,623,176250,463750,640000,0.275390625
623,624,177205,462795,640000,0.2768828125
624,625,178042,461958,640000,0.278190625
625,626,178723,461277,640000,0.2792546875
626,627,179207,460793,640000,0.2800109375
627,628,179782,460218,640000,0.280909375
628,629,179753,460247,640000,0.2808640625
629,630,179506,460494,640000,0.280478125
630,631,179167,460833,640000,0.2799484375
631,632,179173,460827,640000,0.2799578125
632,633,179057,460943,640000,0.2797765625
633,634,178704,461296,640000,0.279225
634,635,178529,461471,640000,0.2789515625
635,636,178276,461724,640000,0.27855625
636,637,178250,461750,640000,0.278515625
637,638,177708,462292,640000,0.27766875
638,639,176442,463558,640000,0.275690625
639,640,174681,465319,640000,0.2729390625
640,641,173454,466546,640000,0.271021875
641,642,172519,467481,640000,0.2695609375
642,643,171759,468241,640000,0.2683734375
643,644,170805,469195,640000,0.2668828125
644,645,169263,470737,640000,0.2644734375
645,646,167888,472112,640000,0.262325
646,647,166374,473626,640000,0.259959375
647,648,164902,475098,640000,0.257659375
648,649,163629,476371,640000,0.2556703125
649,650,163019,476981,640000,0.2547171875
650,651,162658,477342,640000,0.254153125
651,652,162472,477528,640000,0.2538625
652,653,162319,477681,640000,0.2536234375
653,654,162046,477954,640000,0.253196875
654,655,161745,478255,640000,0.2527265625
